"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2026-01-01T02:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",968.38,"provisorisch"
"2026-01-01T03:00+0100","Zch_Heubeeribüel","Hr","h1","%Hr",98.44,"provisorisch"
"2026-01-01T03:00+0100","Zch_Heubeeribüel","T","h1","°C",-5.13,"provisorisch"
"2026-01-01T03:00+0100","Zch_Heubeeribüel","p","h1","hPa",946.32,"provisorisch"
"2026-01-01T03:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",80.59,"provisorisch"
"2026-01-01T03:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T03:00+0100","Zch_Rosengartenstrasse","T","h1","°C",-5.38,"provisorisch"
"2026-01-01T03:00+0100","Zch_Rosengartenstrasse","WD","h1","°",73.92,"provisorisch"
"2026-01-01T03:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.23,"provisorisch"
"2026-01-01T03:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.09,"provisorisch"
"2026-01-01T03:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",967.52,"provisorisch"
"2026-01-01T03:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",70.51,"provisorisch"
"2026-01-01T03:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T03:00+0100","Zch_Schimmelstrasse","T","h1","°C",-3.72,"provisorisch"
"2026-01-01T03:00+0100","Zch_Schimmelstrasse","WD","h1","°",328.84,"provisorisch"
"2026-01-01T03:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.6,"provisorisch"
"2026-01-01T03:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.52,"provisorisch"
"2026-01-01T03:00+0100","Zch_Schimmelstrasse","p","h1","hPa",970.14,"provisorisch"
"2026-01-01T03:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",73.37,"provisorisch"
"2026-01-01T03:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T03:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.01,"provisorisch"
"2026-01-01T03:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",-4.34,"provisorisch"
"2026-01-01T03:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",278.15,"provisorisch"
"2026-01-01T03:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",0.63,"provisorisch"
"2026-01-01T03:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",0.56,"provisorisch"
"2026-01-01T03:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",967.39,"provisorisch"
"2026-01-01T04:00+0100","Zch_Heubeeribüel","Hr","h1","%Hr",98.52,"provisorisch"
"2026-01-01T04:00+0100","Zch_Heubeeribüel","T","h1","°C",-5.49,"provisorisch"
"2026-01-01T04:00+0100","Zch_Heubeeribüel","p","h1","hPa",945.62,"provisorisch"
"2026-01-01T04:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",80.61,"provisorisch"
"2026-01-01T04:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T04:00+0100","Zch_Rosengartenstrasse","T","h1","°C",-5.61,"provisorisch"
"2026-01-01T04:00+0100","Zch_Rosengartenstrasse","WD","h1","°",299.63,"provisorisch"
"2026-01-01T04:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.2,"provisorisch"
"2026-01-01T04:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.01,"provisorisch"
"2026-01-01T04:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",966.86,"provisorisch"
"2026-01-01T04:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",73.01,"provisorisch"
"2026-01-01T04:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T04:00+0100","Zch_Schimmelstrasse","T","h1","°C",-4.04,"provisorisch"
"2026-01-01T04:00+0100","Zch_Schimmelstrasse","WD","h1","°",324.08,"provisorisch"
"2026-01-01T04:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.87,"provisorisch"
"2026-01-01T04:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.83,"provisorisch"
"2026-01-01T04:00+0100","Zch_Schimmelstrasse","p","h1","hPa",969.43,"provisorisch"
"2026-01-01T04:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",74.09,"provisorisch"
"2026-01-01T04:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T04:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.02,"provisorisch"
"2026-01-01T04:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",-4.62,"provisorisch"
"2026-01-01T04:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",310.73,"provisorisch"
"2026-01-01T04:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",0.72,"provisorisch"
"2026-01-01T04:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",0.52,"provisorisch"
"2026-01-01T04:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",966.72,"provisorisch"
"2026-01-01T05:00+0100","Zch_Heubeeribüel","Hr","h1","%Hr",99.71,"provisorisch"
"2026-01-01T05:00+0100","Zch_Heubeeribüel","T","h1","°C",-5.76,"provisorisch"
"2026-01-01T05:00+0100","Zch_Heubeeribüel","p","h1","hPa",945.49,"provisorisch"
"2026-01-01T05:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",81.21,"provisorisch"
"2026-01-01T05:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T05:00+0100","Zch_Rosengartenstrasse","T","h1","°C",-5.74,"provisorisch"
"2026-01-01T05:00+0100","Zch_Rosengartenstrasse","WD","h1","°",63.68,"provisorisch"
"2026-01-01T05:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.28,"provisorisch"
"2026-01-01T05:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.2,"provisorisch"
"2026-01-01T05:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",966.73,"provisorisch"
"2026-01-01T05:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",76.14,"provisorisch"
"2026-01-01T05:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T05:00+0100","Zch_Schimmelstrasse","T","h1","°C",-4.3,"provisorisch"
